cdkt_bank_bao_lanh_khac | Bảo lãnh khác
cdkt_bank_bao_lanh_vay_von | Bảo lãnh vay vốn
cdkt_bank_bat_dong_san_dau_tu | Bất động sản đầu tư
cdkt_bank_cac_cong_cu_tai_chinh_phai_sinh_va_cac_khoan_no_tai_chi | Các công cụ tài chính phái sinh và các khoản nợ tài chính khác
cdkt_bank_cac_cong_cu_tai_chinh_phai_sinh_va_cac_tai_san_tai_chin | Các công cụ tài chính phái sinh và các tài sản tài chính khác
cdkt_bank_cac_khoan_du_phong_rui_ro_cho_cac_tai_san_co_noi_bang_k | Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác
cdkt_bank_cac_khoan_lai_phi_phai_tra | Các khoản lãi, phí phải trả
cdkt_bank_cac_khoan_lai_va_phi_phai_thu | Các khoản lãi và phí phải thu
cdkt_bank_cac_khoan_no_chinh_phu_va_nhnn_viet_nam | Các khoản nợ chính phủ và NHNN Việt Nam
cdkt_bank_cac_khoan_no_khac | Các khoản nợ khác
cdkt_bank_cac_khoan_phai_thu | Các khoản phải thu
cdkt_bank_cac_khoan_phai_tra_va_cong_no_khac | Các khoản phải trả và công nợ khác
cdkt_bank_cam_ket_ban_ngoai_te | Cam kết bán ngoại tệ
cdkt_bank_cam_ket_cho_vay_khong_huy_ngang | Cam kết cho vay không hủy ngang
cdkt_bank_cam_ket_giao_dich_hoan_doi | Cam kết giao dịch hoán đổi
cdkt_bank_cam_ket_giao_dich_hoi_doai | Cam kết giao dịch hối đoái
cdkt_bank_cam_ket_giao_dich_tuong_lai | Cam kết giao dịch tương lai
cdkt_bank_cam_ket_khac | Cam kết khác
cdkt_bank_cam_ket_mua_ngoai_te | Cam kết mua ngoại tệ
cdkt_bank_cam_ket_trong_nghiep_vu_lc | Cam kết trong nghiệp vụ L/C
cdkt_bank_chenh_lech_danh_gia_lai_tai_san | Chênh lệch đánh giá lại tài sản
cdkt_bank_chenh_lech_ty_gia_hoi_doai | Chênh lệch tỷ giá hối đoái
cdkt_bank_cho_vay_cac_tctd_khac | Cho vay các TCTD khác
cdkt_bank_cho_vay_khach_hang | Cho vay khách hàng
cdkt_bank_cho_vay_khach_hang_1 | Cho vay khách hàng
cdkt_bank_chung_khoan_dau_tu | Chứng khoán đầu tư
cdkt_bank_chung_khoan_dau_tu_giu_den_ngay_dao_han | Chứng khoán đầu tư giữ đến ngày đáo hạn
cdkt_bank_chung_khoan_dau_tu_san_sang_de_ban | Chứng khoán đầu tư sẵn sàng để bán
cdkt_bank_chung_khoan_kinh_doanh | Chứng khoán kinh doanh
