CDKT | cdkt_tai_san_ngan_han | N/A | TÀI SẢN NGẮN HẠN
CDKT | cdkt_tien_va_tuong_duong_tien | N/A | Tiền và tương đương tiền
CDKT | cdkt_tien | N/A | Tiền
CDKT | cdkt_cac_khoan_tuong_duong_tien | N/A | Các khoản tương đương tiền
CDKT | cdkt_dau_tu_ngan_han | N/A | Đầu tư ngắn hạn
CDKT | cdkt_dau_tu_ngan_han_1 | N/A | Đầu tư ngắn hạn
CDKT | cdkt_du_phong_giam_gia | N/A | Dự phòng giảm giá
CDKT | cdkt_dau_tu_nam_giu_den_ngay_dao_han | N/A | Đầu tư nắm giữ đến ngày đáo hạn
CDKT | cdkt_cac_khoan_phai_thu | N/A | Các khoản phải thu
CDKT | cdkt_phai_thu_khach_hang | N/A | Phải thu khách hàng
CDKT | cdkt_tra_truoc_nguoi_ban | N/A | Trả trước người bán
CDKT | cdkt_phai_thu_noi_bo | N/A | Phải thu nội bộ
CDKT | cdkt_phai_thu_hop_dong_xay_dung_dang_thuc_hien | N/A | Phải thu hợp đồng xây dựng đang thực hiện
CDKT | cdkt_phai_thu_cho_vay_ngan_han | N/A | Phải thu cho vay ngắn hạn
CDKT | cdkt_phai_thu_khac | N/A | Phải thu khác
CDKT | cdkt_du_phong_no_kho_doi | N/A | Dự phòng nợ khó đòi
CDKT | cdkt_tai_san_thieu_can_xu_ly | N/A | Tài sản thiếu cần xử lý
CDKT | cdkt_hang_ton_kho_rong | N/A | Hàng tồn kho, ròng
CDKT | cdkt_hang_ton_kho | N/A | Hàng tồn kho
CDKT | cdkt_du_phong_giam_gia_hang_ton_kho | N/A | Dự phòng giảm giá hàng tồn kho
CDKT | cdkt_tai_san_luu_dong_khac | N/A | Tài sản lưu động khác
CDKT | cdkt_chi_phi_tra_truoc_ngan_han | N/A | Chi phí trả trước ngắn hạn
CDKT | cdkt_thue_gtgt_duoc_khau_tru | N/A | Thuế GTGT được khấu trừ
CDKT | cdkt_phai_thu_thue_khac | N/A | Phải thu thuế khác
CDKT | cdkt_giao_dich_mua_ban_lai_trai_phieu_chinh_phu | N/A | Giao dịch mua bán lại trái phiếu Chính phủ
